ID,name,description,releaseDate,discontinuedDate,price,currencyCode_code,height,width,depth,quantity,unitOfMeasure,idItems_ID
10,Mouse G20 8000,Mouse gamer 8000 DPI,2025-01-01,2027-01-01,120.00,COP,3,2,0,1,IN,1
40,Iphone 15 Pro Max,Phone,2025-01-03,2027-01-03,800.99,COP,7,3,0,1,IN,1
70,Keyboard 512 K55,Mechanic Keyboard Red,2025-01-04,2027-01-04,172.99,COP,17,6,1,1,IN,1
70,Keyboard 512 K55,Mechanic Keyboard Red,2025-01-04,2027-01-04,172.99,EUR,17,6,1,1,IN,2
50,Apple Watch,Watch,2025-01-05,2027-01-05,600.00,RUB,8,1,0,3,IN,3
90,Headset LG 190,Headset ANC Spacial Sound,2025-01-02,2027-01-02,300.00,RUB,6,6,1,2,IN,3
10,Mouse G20 8000,Mouse gamer 8000 DPI,2025-01-01,2027-01-01,120.00,COP,3,2,0,2,IN,4
50,Apple Watch,Watch,2025-01-05,2027-01-05,600.00,COP,8,1,0,2,IN,4
110,Motherboard HMI120,Motherboard Asus For PC,2025-01-07,2027-01-07,249.99,EUR,10,10,0,2,IN,5
60,Ram Dual 16gb 3200,Ram Memory 16 gb Dual,2025-01-08,2027-01-08,82.00,PEN,3,2,0,3,IN,6
90,Headset LG 190,Headset ANC Spacial Sound,2025-01-02,2027-01-02,300.00,PEN,6,6,1,2,IN,6
20,HDD 1TB,Hard Disk Drive,2025-01-09,2027-01-09,50.30,MXN,3,3,0,3,IN,7
30,PC Case Koni560 2 Fans RBG,Pc Case,2025-01-10,2027-01-10,300.00,MXN,15,7,15,1,IN,7
40,Iphone 15 Pro Max,Phone,2025-01-03,2027-01-03,800.99,MXN,7,3,0,2,IN,7
50,Apple Watch,Watch,2025-01-05,2027-01-05,600.00,MXN,8,1,0,3,IN,7
60,Ram Dual 16gb 3200,Ram Memory 16 gb Dual,2025-01-08,2027-01-08,82.00,MXN,3,2,0,3,IN,8
20,HDD 1TB,Hard Disk Drive,2025-01-09,2027-01-09,50.30,USD,3,3,0,1,IN,9
30,PC Case Koni560 2 Fans RBG,Pc Case,2025-01-10,2027-01-10,300.00,BRL,15,7,15,1,IN,9
120,Mouse Pad 15 x 20,Mouse pad for mouse,2025-01-11,2027-01-11,30.00,EUR,15,15,0,1,IN,10
10,Mouse G20 8000,Mouse gamer 8000 DPI,2025-01-01,2027-01-01,120.00,COP,3,2,0,1,IN,11
30,PC Case Koni560 2 Fans RBG,Pc case,2025-01-10,2027-01-10,300.00,BRL,15,7,15,1,IN,12
130,Laptop Mackbook,Laptop pc apple,2025-01-06,2027-01-06,1200.50,BRL,22,11,0,1,IN,12
20,HDD 1TB,Hard Disk Drive,2025-01-09,2027-01-09,50.30,USD,3,3,0,1,IN,13
40,Iphone 15 Pro Max,Phone,2025-01-03,2027-01-03,800.99,USD,7,3,0,1,IN,13
50,Apple Watch,Watch,2025-01-05,2027-01-05,600.00,BRL,8,1,0,1,IN,14
130,Laptop Mackbook,Laptop pc apple,2025-01-06,2027-01-06,1200.50,ARS,22,11,0,1,IN,15
60,Ram Dual 16gb 3200,Ram Memory 16 gb Dual,2025-01-08,2027-01-08,82.00,EUR,3,2,0,1,IN,16
10,Mouse G20 8000,Mouse gamer 8000 DPI,2025-01-01,2027-01-01,120.00,EUR,3,2,0,1,IN,17
70,Keyboard 512 K55,Mechanic Keyboard Red,2025-01-04,2027-01-04,172.99,EUR,17,6,1,1,IN,17
20,HDD 1TB,Hard Disk Drive,2025-01-09,2027-01-09,50.30,COP,3,3,0,3,IN,18
130,Laptop Mackbook,Laptop pc apple,2025-01-06,2027-01-06,1200.50,ARS,22,11,0,1,IN,19
70,Keyboard 512 K55,Mechanic Keyboard Red,2025-01-04,2027-01-04,172.99,PEN,17,6,1,2,IN,20
90,Headset LG 190,Headset ANC Spacial Sound,2025-01-02,2027-01-02,300.00,PEN,6,6,1,1,IN,20
